Week Ending,Sales Transactions,Stock for Sale,Properties for Rent,Properties Leased,Source
13 April 2025,944,4986,2263,684,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-13-april-2025/
6 April 2025,989,5076,2238,621,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-6-april-2025/
30 March 2025,1019,5091,2112,737,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-30-march-2025/
23 March 2025,903,5138,2151,663,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-23-march-2025/
16 March 2025,951,5047,2130,628,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-16-march-2025/
9 March 2025,869,4969,2087,551,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-9-march-2025/
2 March 2025,1079,4829,2016,690,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-2-march-2025/
23 February 2025,942,5088,2024,707,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-23-february-2025/
16 February 2025,923,5031,2055,737,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-16-february-2025/
9 February 2025,970,4932,2141,724,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-9-february-2025/
2 February 2025,810,4864,2142,667,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-2-february-2025/
26 January 2025,865,4790,2219,803,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-26-january-2025/
19 January 2025,698,4778,2303,783,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-19-january-2025/
12 January 2025,593,4536,2291,601,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-12-january-2025/
5 January 2025,301,4307,1934,244,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-5-january-2025/
29 December 2024,328,4584,1806,231,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-29-december-2024/
22 December 2024,896,4816,1889,801,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-22-december-2024/
15 December 2024,889,5337,2218,636,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-15-december-2024/
8 December 2024,1038,5558,2257,645,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-8-december-2024/
1 December 2024,1027,5661,2199,728,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-1-december-2024/
24 November 2024,1008,5651,2235,645,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-24-november-2024/
17 November 2024,958,5433,2142,616,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-17-november-2024/
10 November 2024,988,5193,2047,576,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-10-november-2024/
3 November 2024,1024,4996,1941,601,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-3-november-2024/
27 October 2024,914,4929,1915,614,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-27-october-2024/
20 October 2024,917,4751,1955,607,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-20-october-2024/
13 October 2024,892,4587,1986,614,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-13-october-2024/
6 October 2024,874,4280,2024,629,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-6-october-2024/
29 September 2024,811,4054,2088,514,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-29-september-2024/
22 September 2024,825,4005,2032,631,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-22-september-2024/
15 September 2024,868,3857,2084,660,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-15-september-2024/
8 September 2024,877,3755,2158,637,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-8-september-2024/
1 September 2024,833,3637,2190,687,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-1-september-2024/
25 August 2024,805,3465,2223,670,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-25-august-2024/
18 August 2024,870,3359,2295,,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-18-august-2024/
11 August 2024,871,3310,2426,706,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-11-august-2024/
4 August 2024,841,3266,2518,637,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-4-august-2024/
28 July 2024,866,3285,2507,713,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-28-july-2024/
21 July 2024,838,3286,2568,642,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-21-july-2024/
14 July 2024,779,3228,2595,664,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-14-july-2024/
7 July 2024,1071,3144,2597,645,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-7-july-2024/
30 June 2024,868,3367,2475,741,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-30-june-2024/
23 June 2024,911,3245,2524,691,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-23-june-2024/
16 June 2024,828,3253,2481,690,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-16-june-2024/
9 June 2024,821,3251,2484,583,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-9-june-2024/
2 June 2024,901,3270,2405,680,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-2-june-2024/
26 May 2024,967,3438,2414,681,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-26-may-2024/
19 May 2024,888,3511,2326,637,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-19-may-2024/
12 May 2024,918,3534,2259,643,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-12-may-2024/
5 May 2024,987,3551,2216,660,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-5-may-2024/
28 April 2024,1007,3642,2096,580,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-28-april-2024/
21 April 2024,968,3818,2078,644,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-21-april-2024/
14 April 2024,938,3716,2045,630,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-14-april-2024/
7 April 2024,727,3691,1963,500,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-7-april-2024/
31 March 2024,962,3591,1850,521,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-31-march-2024/
24 March 2024,1078,3954,1840,643,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-24-march-2024/
17 March 2024,1044,3971,1816,617,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-17-march-2024/
10 March 2024,902,4007,1799,489,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-10-march-2024/
3 March 2024,1054,3962,1683,612,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-3-march-2024/
25 February 2024,1010,4101,1733,597,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-25-february-2024/
18 February 2024,957,4040,1740,658,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-18-february-2024/
11 February 2024,980,3956,1803,691,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-11-february-2024/
4 February 2024,984,3846,1862,754,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-4-february-2024/
28 January 2024,792,3860,1957,597,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-28-january-2024/
21 January 2024,830,3864,1996,703,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-21-january-2024/
14 January 2024,626,3792,1954,619,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-14-january-2024/
7 January 2024,434,3633,1825,317,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-7-january-2024/
31 December 2023,217,3648,1518,145,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-31-december-2023/
17 December 2023,959,4459,1838,742,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-17-december-2023/
10 December 2023,995,4730,1970,647,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-10-december-2023/
3 December 2023,1025,4775,1930,653,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-3-december-2023/
26 Nov 2023,1068,4928,1982,613,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-26-nov-2023/
19 Nov 2023,949,4921,1904,586,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-19-nov-2023/
12 Nov 2023,1010,4903,1824,563,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-12-nov-2023/
5 Nov 2023,1167,4852,1739,625,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-5-nov-2023/
30 Oct 2023,997,5031,1719,604,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-30-oct-2023/
22 Oct 2023,987,5012,1708,623,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-22-oct-2023/
15 Oct 2023,984,5034,1691,573,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-15-oct-2023/
8 Oct 2023,926,5054,1691,587,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-8-oct-2023/
1 Oct 2023,860,4895,1679,482,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-1-oct-2023/
24 Sep 2023,1013,5034,1666,591,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-24-sep-2023/
17 Sep 2023,877,5175,1664,581,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-17-sep-2023/
10 Sep 2023,911,5084,1647,574,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-10-sep-2023/
3 Sep 2023,914,5131,1654,570,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-3-sep-2023/
27 August 2023,868,5280,1635,596,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-27-august-2023/
20 August 2023,863,5205,1701,628,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-20-august-2023/
13 August 2023,816,5275,1833,598,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-13-august-2023/
6 August 2023,835,5178,1874,590,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-6-august-2023/
30 July 2023,840,5257,1877,666,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-30-july-2023/
23 July 2023,812,5272,1985,611,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-23-july-2023/
16 July 2023,840,5192,2010,697,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-16-july-2023/
9 July 2023,881,5220,2121,643,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-9-july-2023/
2 July 2023,891,5328,2110,700,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-2-july-2023/
25 June 2023,844,5458,2189,658,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-25-june-2023/
18 June 2023,811,5429,2179,655,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-18-june-2023/
11 June 2023,779,5501,2160,516,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-11-june-2023/
4 June 2023,954,5589,2066,563,https://reiwa.com.au/news/perth-weekly-market-snapshot-for-the-week-ending-4-june-2023/
28 May 2023,938,5890,1970,686,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-28-may-2023/
21 May 2023,947,5968,2074,595,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-21-may-2023/
14 May 2023,898,6157,2047,634,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-14-may-2023/
7 May 2023,998,6291,2029,659,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-7-may-2023/
30 April 2023,894,6452,2008,548,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-30-april-2023/
23 April 2023,1021,6641,2031,673,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-23-april-2023/
16 April 2023,793,6833,2081,500,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-16-april-2023/
9 April 2023,939,6813,1994,518,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-9-april-2023/
2 April 2023,1069,7076,1918,640,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-2-april-2023/
26 March 2023,1018,7335,1950,668,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-march-2023/
19 March 2023,979,7262,1966,630,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-march-2023/
12 March 2023,871,7160,1900,542,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-march-2023/
26 February 2023,963,7329,1712,669,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-february-2023/
19 February 2023,922,7242,1787,631,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-february-2023/
12 February 2023,917,7143,1802,676,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-february-2023/
5 February 2023,1036,6993,1851,728,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-5-february-2023/
29 January 2023,836,7137,1905,582,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-29-january-2023/
22 January 2023,862,7261,1976,750,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-22-january-2023/
15 January 2023,733,7188,1996,609,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-15-january-2023/
8 January 2023,465,7111,1826,358,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-8-january-2023/
1 January 2023,,7144,1450,155,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-1-january-2023/
18 December 2022,834,8094,1815,712,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-18-december-2022/
11 December 2022,909,8364,1933,641,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-11-december-2022/
4 December 2022,882,8475,1877,641,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-4-december-2022/
27 November 2022,1015,8629,1892,665,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-27-november-2022/
13 November 2022,883,8377,1772,631,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-13-november-2022/
6 November 2022,883,8212,1764,584,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-6-november-2022/
9 October 2022,892,8122,1791,599,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-9-october-2022/
18 September 2022,861,8307,1776,690,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-18-september-2022/
11 September 2022,841,8199,1898,667,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-11-september-2022/
4 September 2022,945,8160,1905,929,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-4-september-2022/
28 August 2022,944,8406,1907,700,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-28-august-2022/
14 August 2022,801,8560,2121,657,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-14-august-2022/
7 August 2022,900,8464,2163,700,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-7-august-2022/
1 August 2022,902,8548,2244,678,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-1-august-2022/
24 July 2022,846,8696,2324,687,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-24-july-2022/
17 July 2022,792,8682,2380,670,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-17-july-2022/
10 July 2022,900,8560,2348,663,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-10-july-2022/
3 July 2022,903,8595,2300,674,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-3-july-2022/
26 June 2022,899,8599,2313,669,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-june-2022/
19 June 2022,879,8532,2298,672,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-june-2022/
12 June 2022,869,8450,2315,581,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-june-2022/
5 June 2022,1005,8379,2325,652,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-5-june-2022/
29 May 2022,959,8521,2315,689,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-29-may-2022/
22 May 2022,875,8431,2362,723,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-22-may-2022/
8 May 2022,952,8099,2482,719,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-8-may-2022/
1 May 2022,869,8040,2496,592,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-1-may-2022/
24 April 2022,788,8022,2419,590,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-24-april-2022/
10 April 2022,993,7896,2401,676,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-10-april-2022/
3 April 2022,1034,7790,2365,701,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-3-april-2022/
27 March 2022,1125,7922,2379,742,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-27-march-2022/
20 March 2022,1198,7877,2364,734,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-20-march-2022/
13 March 2022,913,7971,2324,501,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-13-march-2022/
6 March 2022,1121,7803,2163,694,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-6-march-2022/
27 February 2022,1094,7913,2216,775,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-27-february-2022/
20 February 2022,1123,7903,2321,769,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-20-february-2022/
13 February 2022,1080,7982,2345,711,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-13-february-2022/
6 February 2022,1160,7975,2358,723,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-6-february-2022/
30 January 2022,992,8106,2305,639,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-30-january-2022/
23 January 2022,997,8256,2350,825,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-23-january-2022/
16 January 2022,853,8186,2423,750,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-16-january-2022/
9 January 2022,594,8025,2359,416,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-9-january-2022/
19 December 2021,1008,9007,2183,713,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-december-2021/
12 December 2021,1007,9286,2253,707,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-december-2021/
5 December 2021,1060,9348,2294,710,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-5-december-2021/
28 November 2021,1033,9280,2360,721,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-28-november-2021/
21 November 2021,1047,9214,2351,670,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-21-november-2021/
14 November 2021,1067,9067,2268,694,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-14-november-2021/
7 November 2021,1097,8863,2229,628,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-7-november-2021/
31 October 2021,1114,8678,2152,668,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-31-october-2021/
24 October 2021,1010,8695,2136,672,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-24-october-2021/
17 October 2021,1017,8550,2237,691,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-17-october-2021/
10 October 2021,1024,8445,2289,642,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-10-october-2021/
3 October 2021,828,8360,2236,554,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-3-october-2021/
26 September 2021,1074,8373,2257,709,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-september-2021/
19 September 2021,911,8537,2279,676,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-september-2021/
12 September 2021,902,8509,2324,700,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-september-2021/
5 September 2021,978,8337,2408,675,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-5-september-2021/
29 August 2021,931,8503,2379,804,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-29-august-2021/
22 August 2021,869,8511,2539,767,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-22-august-2021/
15 August 2021,860,8459,2658,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-15-august-2021/
8 August 2021,841,8363,2684,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-8-august-2021/
1 August 2021,947,8283,2670,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-1-august-2021/
25 July 2021,894,8525,2770,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-25-july-2021/
18 July 2021,875,8510,2958,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-18-july-2021/
11 July 2021,813,8558,3013,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-11-july-2021/
4 July 2021,932,8484,2817,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-4-july-2021/
27 June 2021,896,8953,2819,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-27-june-2021/
20 June 2021,882,9026,2839,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-20-june-2021/
13 June 2021,783,9016,2879,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-13-june-2021/
6 June 2021,952,9054,2815,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-6-june-2021/
30 May 2021,976,9212,2843,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-30-may-2021/
23 May 2021,922,9118,2983,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-23-may-2021/
16 May 2021,889,9017,2870,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-16-may-2021/
9 May 2021,1042,8886,2870,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-9-may-2021/
2 May 2021,,8907,2857,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-2-may-2021/
25 April 2021,979,8737,2740,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-25-april-2021/
18 April 2021,919,8680,2780,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-18-april-2021/
11 April 2021,785,8485,2745,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-11-april-2021/
4 April 2021,1024,8259,2695,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-4-april-2021/
28 March 2021,965,8650,2720,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-28-march-2021/
21 March 2021,1010,8313,2747,,https://reiwa.com.au/news/perth-market-snapshot-for-week-ending-21-march-2021/
14 March 2021,1020,8135,2731,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-14-march-2021/
7 March 2021,930,7946,2768,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-7-march-2021/
28 February 2021,1058,7849,2765,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-28-february-2021/
21 February 2021,966,7905,2840,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-21-february-2021/
